Batch Size,Epochs,Learning Rate,Train Accuracy,Val Accuracy
8,0.5,1e-05,0.3307217372791143,0.34878213802435726
8,0.5,3e-05,0.5376197572918885,0.540595399188092
8,0.5,5e-05,0.5852246114541196,0.5828822733423545
8,0.5,9e-05,0.615456674473068,0.5960757780784844
8,1,1e-05,0.48430913348946136,0.4915426251691475
8,1,3e-05,0.6153289333617202,0.6085926928281461
8,1,5e-05,0.6443687460080902,0.6221244925575101
8,1,9e-05,0.6674047264211198,0.6265223274695535
8,2,1e-05,0.5850117096018735,0.5832205683355887
8,2,3e-05,0.6719608260591867,0.6261840324763194
8,2,5e-05,0.701809665744092,0.628552097428958
8,2,9e-05,0.7418352139663615,0.642083897158322
8,4,1e-05,0.6456035767511177,0.6197564276048715
8,4,3e-05,0.7534170747285501,0.6363328822733424
8,4,5e-05,0.8219288907813498,0.6366711772665764
8,4,9e-05,0.8912071535022354,0.6207713125845737
16,0.5,1e-05,0.2944432616563764,0.2953315290933694
16,0.5,3e-05,0.4778794975516287,0.4847767253044655
16,0.5,5e-05,0.5503087076857569,0.5466847090663058
16,0.5,9e-05,0.593698105173515,0.5801759133964818
16,1,1e-05,0.40864381520119225,0.4232070365358593
16,1,3e-05,0.586629763678944,0.577807848443843
16,1,5e-05,0.6250372578241431,0.6143437077131259
16,1,9e-05,0.6550989993612945,0.6224627875507442
16,2,1e-05,0.5392378113689589,0.5460081190798376
16,2,3e-05,0.6475196934213328,0.6211096075778079
16,2,5e-05,0.6832020438577816,0.628552097428958
16,2,9e-05,0.7198211624441133,0.628552097428958
16,4,1e-05,0.6175005322546306,0.6001353179972937
16,4,3e-05,0.7165850542899723,0.6275372124492558
16,4,5e-05,0.7776878858846072,0.6326116373477673
16,4,9e-05,0.8564189908452203,0.624830852503383
32,0.5,1e-05,0.20783478816265702,0.20263870094722597
32,0.5,3e-05,0.3819459229295295,0.3870094722598105
32,0.5,5e-05,0.4897594209069619,0.4942489851150203
32,0.5,9e-05,0.5631253991909729,0.560893098782138
32,1,1e-05,0.33817330210772834,0.34472259810554806
32,1,3e-05,0.5339152650628061,0.5365358592692828
32,1,5e-05,0.5950606770278901,0.5950608930987822
32,1,9e-05,0.6350862252501597,0.6136671177266576
32,2,1e-05,0.47702789014264424,0.4854533152909337
32,2,3e-05,0.6166063444751969,0.6035182679296346
32,2,5e-05,0.6591441345539706,0.6224627875507442
32,2,9e-05,0.6957632531403023,0.6326116373477673
32,4,1e-05,0.5826697892271663,0.5805142083897158
32,4,3e-05,0.6823930168192464,0.6288903924221921
32,4,5e-05,0.7397061954439004,0.6414073071718539
32,4,9e-05,0.8188631041090058,0.6356562922868741
64,0.5,1e-05,0.14835001064509262,0.14411366711772666
64,0.5,3e-05,0.29989354907387694,0.3112313937753721
64,0.5,5e-05,0.3923355333191399,0.39952638700947224
64,0.5,9e-05,0.5038535235256547,0.5155615696887687
64,1,1e-05,0.26093251011283797,0.2672530446549391
64,1,3e-05,0.4630189482648499,0.4685385656292287
64,1,5e-05,0.5394081328507558,0.543978349120433
64,1,9e-05,0.6091973600170322,0.5964140730717186
64,2,1e-05,0.40025548222269536,0.41474966170500677
64,2,3e-05,0.5813497977432404,0.5818673883626523
64,2,5e-05,0.6292527144986161,0.6136671177266576
64,2,9e-05,0.6659569938258463,0.624830852503383
64,4,1e-05,0.5397913561847988,0.540257104194858
64,4,3e-05,0.6541196508409624,0.6207713125845737
64,4,5e-05,0.6998083883329785,0.6292286874154263
64,4,9e-05,0.7644453906748989,0.631596752368065
