Batch Size,Epochs,Learning Rate,Train Accuracy,Val Accuracy
8,0.5,1e-05,0.5569020601520326,0.5452946350043976
8,0.5,3e-05,0.619092211082957,0.5938874230430958
8,0.5,5e-05,0.630136609011788,0.6015831134564644
8,0.5,9e-05,0.6286768756196981,0.6018029903254177
8,1,1e-05,0.6109121956593588,0.5844327176781002
8,1,3e-05,0.6639308141456428,0.616754617414248
8,1,5e-05,0.6750578384928941,0.6244503078276166
8,1,9e-05,0.670926517571885,0.6141160949868074
8,2,1e-05,0.6699350005508428,0.6108179419525066
8,2,3e-05,0.7508538063236753,0.6158751099384345
8,2,5e-05,0.7790018728654842,0.6094986807387863
8,2,9e-05,0.7547647901288972,0.6083992963940194
8,4,1e-05,0.7628346369946017,0.6077396657871592
8,4,3e-05,0.9175112922771841,0.5925681618293756
8,4,5e-05,0.9415004957585105,0.5886103781882146
8,4,9e-05,0.9240938636113253,0.580255057167986
16,0.5,1e-05,0.5201057618155779,0.5162708883025505
16,0.5,3e-05,0.5994822077779002,0.5870712401055409
16,0.5,5e-05,0.6235815798171201,0.5991644678979772
16,0.5,9e-05,0.6285667070618045,0.6020228671943711
16,1,1e-05,0.5883000991517021,0.5787159190853123
16,1,3e-05,0.6495813594800044,0.6119173262972736
16,1,5e-05,0.6688608571113804,0.623570800351803
16,1,9e-05,0.6760768976534097,0.6198328935795955
16,2,1e-05,0.6407403327090448,0.5980650835532102
16,2,3e-05,0.7266993500055084,0.6119173262972736
16,2,5e-05,0.7648452131761595,0.6180738786279684
16,2,9e-05,0.7794976313760053,0.6103781882145998
16,4,1e-05,0.7188222981161176,0.6114775725593667
16,4,3e-05,0.8813209210091439,0.5912489006156553
16,4,5e-05,0.933843780984907,0.588830255057168
16,4,9e-05,0.9498733061584224,0.5853122251539138
32,0.5,1e-05,0.4415004957585105,0.4415127528583993
32,0.5,3e-05,0.5831497190701773,0.5697009674582234
32,0.5,5e-05,0.6013275311226176,0.5835532102022867
32,0.5,9e-05,0.6217913407513496,0.5969656992084432
32,1,1e-05,0.5620524402335574,0.5543095866314863
32,1,3e-05,0.6307149939407293,0.5991644678979772
32,1,5e-05,0.656329183650986,0.6191732629727352
32,1,9e-05,0.6699625426903162,0.616754617414248
32,2,1e-05,0.6138041203040652,0.5824538258575198
32,2,3e-05,0.6963203701663545,0.6112576956904133
32,2,5e-05,0.7381844221659138,0.6132365875109939
32,2,9e-05,0.7674892585656053,0.6123570800351803
32,4,1e-05,0.6817505783849289,0.61103781882146
32,4,3e-05,0.8314971907017737,0.600263852242744
32,4,5e-05,0.9009860085931475,0.5903693931398417
32,4,9e-05,0.9415280378979839,0.5756376429199648
64,0.5,1e-05,0.4270684146744519,0.43051890941073
64,0.5,3e-05,0.5493555139363225,0.5395778364116095
64,0.5,5e-05,0.5838382725570123,0.5686015831134564
64,0.5,9e-05,0.5996474606147405,0.5793755496921724
64,1,1e-05,0.5063346920788807,0.5032981530343008
64,1,3e-05,0.6030076016304946,0.5837730870712401
64,1,5e-05,0.6376280709485512,0.6033421284080914
64,1,9e-05,0.6566321471851934,0.6169744942832014
64,2,1e-05,0.5870607028753994,0.5699208443271768
64,2,3e-05,0.6721659138481877,0.613896218117854
64,2,5e-05,0.7097333920898975,0.6147757255936676
64,2,9e-05,0.7482373030737027,0.6169744942832014
64,4,1e-05,0.6508482978957806,0.5996042216358839
64,4,3e-05,0.771510410928721,0.6062005277044855
64,4,5e-05,0.8569736697146635,0.5956464379947229
64,4,9e-05,0.9263798611876171,0.5828935795954265
