Batch Size,Epochs,Learning Rate,Train Accuracy,Val Accuracy
8,0.5,1e-05,0.4797565274870552,0.49186455584872474
8,0.5,3e-05,0.5684146744519114,0.5677220756376429
8,0.5,5e-05,0.5962322353200397,0.5879507475813545
8,0.5,9e-05,0.6127299768646028,0.6007036059806509
8,1,1e-05,0.5392475487495869,0.5404573438874231
8,1,3e-05,0.6139142888619588,0.5976253298153035
8,1,5e-05,0.6295031398038999,0.6051011433597185
8,1,9e-05,0.645505122837942,0.6130167106420404
8,2,1e-05,0.5936983584884874,0.5855321020228672
8,2,3e-05,0.6516745620799824,0.6114775725593667
8,2,5e-05,0.6783353530902281,0.612796833773087
8,2,9e-05,0.7100638977635783,0.6145558487247141
8,4,1e-05,0.6358102897433072,0.6048812664907651
8,4,3e-05,0.7281590833975983,0.6090589270008795
8,4,5e-05,0.7928555690206015,0.6000439753737907
8,4,9e-05,0.8657871543461496,0.5974054529463501
16,0.5,1e-05,0.4582185744188609,0.4599824098504837
16,0.5,3e-05,0.5418915941390328,0.544415127528584
16,0.5,5e-05,0.5778065440123389,0.5771767810026385
16,0.5,9e-05,0.603448275862069,0.5934476693051891
16,1,1e-05,0.510135507326209,0.51363236587511
16,1,3e-05,0.5988211964305388,0.5954265611257695
16,1,5e-05,0.6208549080092541,0.6048812664907651
16,1,9e-05,0.6382064558774926,0.6123570800351803
16,2,1e-05,0.5699845764018949,0.5677220756376429
16,2,3e-05,0.6354797840696266,0.6075197889182058
16,2,5e-05,0.6616999008482979,0.6147757255936676
16,2,9e-05,0.6975322243031838,0.6180738786279684
16,4,1e-05,0.6154566486724689,0.5974054529463501
16,4,3e-05,0.6920788806874518,0.6145558487247141
16,4,5e-05,0.750771179905255,0.6057607739665787
16,4,9e-05,0.8328742976754434,0.5965259454705365
32,0.5,1e-05,0.4155282582350997,0.4146877748460862
32,0.5,3e-05,0.5048474165473174,0.5107739665787159
32,0.5,5e-05,0.5513936322573537,0.556948109058927
32,0.5,9e-05,0.5840035253938526,0.579155672823219
32,1,1e-05,0.4831992949212295,0.4890061565523307
32,1,3e-05,0.5745290294150049,0.5701407211961301
32,1,5e-05,0.604990635672579,0.5958663148636764
32,1,9e-05,0.6269141786934009,0.6081794195250659
32,2,1e-05,0.5434064118100694,0.5450747581354441
32,2,3e-05,0.6182659468987551,0.605321020228672
32,2,5e-05,0.643687341632698,0.61103781882146
32,2,9e-05,0.6725790459402886,0.6123570800351803
32,4,1e-05,0.5974991737358158,0.5899296394019349
32,4,3e-05,0.6621130329403988,0.613896218117854
32,4,5e-05,0.71234989533987,0.6121372031662269
32,4,9e-05,0.788145863170651,0.6092788038698329
64,0.5,1e-05,0.36945025889611105,0.36521547933157433
64,0.5,3e-05,0.47333920898975435,0.4782321899736148
64,0.5,5e-05,0.5072160405420293,0.5116534740545294
64,0.5,9e-05,0.5586922992178033,0.5591468777484608
64,1,1e-05,0.4560427454004627,0.46284080914687775
64,1,3e-05,0.5411479563732511,0.5422163588390502
64,1,5e-05,0.5824060813043958,0.5740985048372911
64,1,9e-05,0.6112151591935662,0.6009234828496042
64,2,1e-05,0.5114299878814587,0.5149516270888302
64,2,3e-05,0.6006940619147295,0.5938874230430958
64,2,5e-05,0.6265561308802468,0.6040017590149517
64,2,9e-05,0.6532720061694393,0.6171943711521548
64,4,1e-05,0.5788806874518012,0.579155672823219
64,4,3e-05,0.6396111049906357,0.6062005277044855
64,4,5e-05,0.6767654511402446,0.612796833773087
