Batch Size,Epochs,Learning Rate,Train Accuracy,Val Accuracy
8,0.5,1e-05,0.49347251294480554,0.49230430958663146
8,0.5,3e-05,0.5926517571884984,0.5850923482849604
8,0.5,5e-05,0.6151261429987881,0.5996042216358839
8,0.5,9e-05,0.6280984906907568,0.6160949868073878
8,1,1e-05,0.5672579045940289,0.5723394898856641
8,1,3e-05,0.6319268480775586,0.6152154793315743
8,1,5e-05,0.6497466123168447,0.6200527704485488
8,1,9e-05,0.6639032720061694,0.6253298153034301
8,2,1e-05,0.6173845984356064,0.604221635883905
8,2,3e-05,0.6773989203481326,0.6145558487247141
8,2,5e-05,0.7092651757188498,0.6171943711521548
8,2,9e-05,0.7424809959237634,0.6171943711521548
8,4,1e-05,0.6587804340641181,0.6077396657871592
8,4,3e-05,0.7802688112812604,0.6062005277044855
8,4,5e-05,0.8610223642172524,0.5996042216358839
8,4,9e-05,0.9187506885534868,0.5932277924362357
16,0.5,1e-05,0.45568469758730856,0.46130167106420406
16,0.5,3e-05,0.5608956703756748,0.5657431838170625
16,0.5,5e-05,0.5970584995042415,0.5921284080914688
16,0.5,9e-05,0.6213506665197752,0.6055408970976254
16,1,1e-05,0.5331607359259667,0.5404573438874231
16,1,3e-05,0.619312548198744,0.6088390501319261
16,1,5e-05,0.6390878043406412,0.6220316622691293
16,1,9e-05,0.6549796188167897,0.6215919085312225
16,2,1e-05,0.5930924314200727,0.5903693931398417
16,2,3e-05,0.659468987550953,0.613896218117854
16,2,5e-05,0.6899581359480005,0.6198328935795955
16,2,9e-05,0.727222650655503,0.6180738786279684
16,4,1e-05,0.6394183100143219,0.6088390501319261
16,4,3e-05,0.7338878484080643,0.6079595426561126
16,4,5e-05,0.8145863170651096,0.6035620052770448
16,4,9e-05,0.8993610223642172,0.5932277924362357
32,0.5,1e-05,0.41671257023245567,0.4177660510114336
32,0.5,3e-05,0.5080147625867577,0.5114335971855761
32,0.5,5e-05,0.5654676655282582,0.5624450307827616
32,0.5,9e-05,0.6075520546436047,0.5952066842568162
32,1,1e-05,0.4860361352869891,0.49120492524186454
32,1,3e-05,0.5945521648121626,0.5859718557607739
32,1,5e-05,0.6235815798171201,0.6094986807387863
32,1,9e-05,0.6453398700011017,0.6160949868073878
32,2,1e-05,0.5653850391098381,0.5697009674582234
32,2,3e-05,0.6401068635011568,0.6068601583113457
32,2,5e-05,0.6672083287429768,0.6145558487247141
32,2,9e-05,0.7003415225294701,0.6143359718557607
32,4,1e-05,0.6186790789908561,0.5991644678979772
32,4,3e-05,0.694888178913738,0.6185136323658751
32,4,5e-05,0.7615676985788256,0.6119173262972736
32,4,9e-05,0.8591219565935881,0.5980650835532102
64,0.5,1e-05,0.3637765781645918,0.358179419525066
64,0.5,3e-05,0.4748264845213176,0.47339489885664027
64,0.5,5e-05,0.522006169439242,0.5288038698328936
64,0.5,9e-05,0.5810565164701994,0.5778364116094987
64,1,1e-05,0.4462102016084609,0.4445910290237467
64,1,3e-05,0.5606753332598876,0.5635444151275286
64,1,5e-05,0.6024292167015534,0.5980650835532102
64,1,9e-05,0.6302192354302082,0.6092788038698329
64,2,1e-05,0.5299383056075796,0.5364995602462621
64,2,3e-05,0.6191748375013771,0.6018029903254177
64,2,5e-05,0.644458521537953,0.6081794195250659
64,2,9e-05,0.6821086261980831,0.6147757255936676
64,4,1e-05,0.5962322353200397,0.5870712401055409
64,4,3e-05,0.6644541147956373,0.6182937554969217
64,4,5e-05,0.715214277845103,0.6119173262972736
64,4,9e-05,0.8029635342073372,0.601363236587511
